Offering,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
aware International Equities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014597,-0.000110389,-0.009610788,0.036782833,0.010157513,0.011695634,-0.030768002,0.02845153,0.020350892,-0.024366029,-0.034944315,0.019762036,-0.001327399,-0.005453423,-0.01569556,0.009446289,-0.083110863,-0.012134465,-0.024388407,0.041508664,-0.012566414,-0.060380932,-0.024728969,0.055110231,-0.04888849,-0.118730371,-0.01748844,-0.022747018,0.009311698,-0.076440506,0.020895496,0.030152799,0.011361384,-0.005571697,0.039785166,0.039619415,-0.002367863,-0.031674531,0.025989117,0.030479411,-0.026498552,-0.002403587,0.043503089,-0.004482927,-0.014350224,-0.033838502,0.031129205,-0.026680965,0.016331853,0.021930216,0.002435114,0.005702185,0.047755448,-0.011578136,-0.004676785,-0.007309723,-0.010639641,-0.002736519,-0.025923547,-0.057320519,0.005836007,0.027005399,-0.027693928,0.00492289,0.026756288,0.030621303,0.040751033,-0.010574419,-0.017539738,-0.017184329,0.003601159,0.030623772,0.022738273,-0.00383049,-0.003798076,0.032132495,0.038512814,-0.000726771,0.035230997,0.085438425,-0.012368295,0.063991964,0.009737976,0.015789659,0.018555224,0.045333157,0.036540219,-0.014990596,0.017670149,-0.0332724,0.005709438,0.028973005,0.004926412,0.001396922,0.011114433,0.027674183,-0.020732977,0.066840321,0.026443074,-0.006533169,0.055427509,0.001699303,0.013102762,0.02285622,-0.027747654,0.044596045,-0.043500139,-0.037301931,0.079352432,-0.008082973,-0.015761663,-0.059736722,-0.002582859,0.00882814,0.028922784,0.045121015,-0.042581774,0.027614118,0.005216037,-0.011915778,-0.012783243,0.040941195,0.039478816,-0.021616232,0.01256823,0.016412943,0.032416726,0.024310389,-0.018676049,-0.013711962,0.007262348,0.031472304,0.039072788,0.0302341,-0.016063404,0.017088898,-0.002689645,-0.005264823,0.027258245,0.004749825,0.02120219,0.023096459,0.039182036,0.005670931,-0.050435871,-0.015826851,-0.03845451,0.036309908,0.051167895,0.016044424,0.04450464,-0.039085814,0.048746907,0.02178284,7.14-05,0.019265399,0.003868919,0.043085997,-0.006523423,0.039965615,-0.044343496,-0.076252675,0.033560232,0.031451946,-0.009382033,0.006055759,0.031966349,-0.002799624,-0.009566109,0.066573308,-0.005185803,-0.004698882193789,0.0138946108023081,0.0454019332171451,,,,,,,,,
aware International Equities AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019286,-0.005612752,0.043564054,0.021950043,0.042073682,0.017393219,-0.046438594,0.037724574,-0.004437335,0.000147921,-0.008269059,0.027170632,0.022123248,0.006061147,-0.03899355,-0.018235419,-0.046854684,-0.009502921,-0.020721076,0.017154615,-0.016632791,-0.035145129,-0.021784477,0.016963752,0.010412492,-0.118711502,0.01555028,-0.018423503,-0.051379861,-0.037737433,0.020870841,-0.012439068,0.049975159,-0.020773305,-0.009088276,0.033624862,0.014412458,-0.01260772,-0.00146457,0.006136747,-0.017460608,0.007573878,0.00212397,0.013880579,-0.016066217,0.01241993,0.011016369,0.000226791,0.003843064,0.006221214,-0.001810614,0.005701964,0.014578739,0.004765884,-0.000244958,0.011385544,0.00150091,0.005623,-0.010587223,-0.004180526,-0.000431682,0.013564433,-0.002440424,0.007210715,0.024725961,0.002053244,0.010404435,0.017622039,-0.000710394,0.012786878,0.018938667,0.00880621,0.003935398,0.012320475,0.001467847,0.014422908,0.022341917,0.004864206,0.0276946,0.0066706,-0.013212094,0.025084993,-0.004700726,0.002847052,0.017980739,-0.001703744,0.001747202,0.012647323,0.009224507,-0.007018532,0.01733086,0.01131446,0.001083894,0.016064,0.006166574,0.001036836,0.020349148,0.018670204,0.014160759,0.031889189,-0.006195109,0.009285522,0.000376268,0.004529348,0.002495704,0.030365654,0.007308666,-0.001848345,0.041462109,-0.011848322,0.007548489,-0.010550168,0.004764078,0.028371136,0.012729972,0.019848256,0.013957214,0.026265027,-0.001263217,-0.017755665,-0.016805109,0.002983616,0.027997176,-0.011734953,0.015879929,-0.00612603,0.022881752,0.015212525,-0.000978,0.003672657,0.007153335,0.002886107,0.021826565,0.018892485,0.003129467,-0.003726539,-0.02617809,0.020062704,0.02574638,0.008542095,0.019010897,0.010175515,0.018218767,-0.011826228,-0.006793729,0.01477587,-0.025948758,0.062208888,0.010756773,0.02108626,0.001774133,0.009152667,4.08-05,0.021524235,0.027066012,0.010711917,0.011345939,0.006168637,-0.002259977,0.013677226,-0.047719029,-0.153409907,0.038985126,0.001117064,0.01833908,0.010710488,0.008274046,-0.012231435,-0.017463237,0.069200978,0.017237303,0.003177070364865,0.0216134795425588,0.0227209478677636,,,,,,,,,
aware Property AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Australian Fixed Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003828,0.001016893,0.009399459,-0.00439617,0.004806747,0.006361786,0.00139339,0.004414802,0.000101055,-0.002601655,0.005624083,0.008280379,-0.00229706,0.00141855,0.00182626,-0.004186635,0.014000496,-0.012563333,0.017590839,-0.000242614,0.001418779,0.003693138,0.011376091,0.023900398,0.004138865,0.022993991,0.022780075,0.010263982,0.010905163,-0.005304792,-0.005191177,0.005417971,-0.012027794,-0.001557026,0.002890526,0.010211975,0.008421516,-0.010676175,0.013927985,-0.004049551,0.012572966,0.003863713,-0.002989343,0.006172735,0.013124846,0.012879588,0.000504389,0.015841072,-0.008115424,0.002514619,-0.004431136,-0.001109673,0.011029471,0.002399981,0.008675495,0.00297023,0.011143197,0.006581375,0.009391962,0.020837188,0.008314881,-0.003810831,0.012017557,0.002203504,-0.000157894,0.005729576,0.006953828,0.013390661,0.020325911,0.007852,0.006205263,0.000982335,0.011768078,0.003687488,-0.000579698,0.003229362,-0.000526105,0.007189087,0.008984652,-0.000187495,-0.011340831,0.010446781,-0.000513866,0.002765225,0.004380628,-0.000666101,0.003417304,0.008334549,0.003490298,0.004192831,0.008781216,0.010720099,0.008655714,0.003408248,0.006420755,-0.002607955,0.008190715,0.008022675,0.014080226,0.010798066,0.007325185,0.005085375,-0.003830289,-0.006322257,-0.003041523,0.01003968,0.004852353,0.000477116,0.006695084,-0.007468362,0.0056052,0.004779131,0.010154927,-0.004900229,0.002164111,0.015784236,0.009889544,0.002945476,0.007735748,-0.001892857,-0.010895284,-0.012612598,-0.001603076,0.005078894,0.001629604,0.003870924,0.006664208,0.010135483,-0.007739747,0.00221079,1.2-05,-0.002477107,0.009532952,0.007502417,-0.004543322,-0.002387345,0.002573462,0.00728222,-0.002931502,0.005981411,0.003889549,0.001417042,0.006920937,-0.003854059,0.004236143,0.002300826,0.012808441,0.005519538,0.008117814,0.015584057,0.002615708,0.014796561,0.008902207,0.00830544,0.01321956,-0.00421842,-0.003864668,0.007029527,-0.014258399,0.020259238,0.007410453,-0.001268507,-0.001058766,0.002606102,0.003149397,0.003302018,-0.003735833,0.009506017,0.002446878,-0.00086,-0.002184057,-0.003712817450588,-0.0308551655907447,0.0070281314682436,,,,,,,,,
aware Australian Fixed Interest AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware International Fixed Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003726,0.004927359,0.009050294,-0.002903259,-0.002505681,0.010268843,0.003305077,-0.001177268,-0.004760823,-0.003210137,0.013877769,0.010212349,-0.000615312,0.011970153,0.009514508,-0.001203453,0.021482372,-0.002945192,0.008625066,-0.005963475,-0.000392084,-0.001959328,0.005352165,0.019459611,-0.010443198,-0.002650978,0.011891598,0.02247464,-0.004610407,0.001669079,0.000238298,0.006101462,-0.005115502,0.012960594,0.006989204,0.01451673,0.008114555,0.000334958,0.008782862,-0.007095856,0.010194518,0.006018345,0.004396337,0.003028624,0.014662593,0.014226596,0.00436028,0.021245783,0.003194392,-0.000995855,-0.008156674,-0.000591437,-0.001762651,0.004512684,0.003168691,0.005331855,0.015521132,0.000559997,0.006875456,0.01888089,0.008805092,0.001324362,0.002487074,0.015882548,0.008093266,0.006614312,0.00390151,0.004963452,0.004434526,0.002785164,0.006136625,0.004257224,0.003980467,0.003634879,0.005857815,0.00364779,0.001503158,0.003282662,0.009951262,0.001396802,-0.006058195,0.001805683,0.000126354,0.003734837,0.005300757,0.002479729,0.000528609,0.007804171,0.004065362,0.002721939,0.004276647,0.006985927,0.003631811,0.006438648,0.009652498,-0.00370751,0.008846356,0.009092746,0.007934525,0.018056992,0.000858059,0.006152298,0.002201875,-0.009162609,-0.008323596,0.007561923,0.002026966,0.005517864,0.007597814,-0.001247185,-0.001952001,0.010339125,0.012765271,0.008512098,0.001164357,0.005957944,0.017710786,0.005451736,0.002573099,0.00046,-0.008657511,-0.016426166,0.003552882,-0.001622517,0.006748152,-0.000767,0.006768269,0.006578791,-0.001289049,0.002422035,0.008620829,-0.003895451,0.003491519,0.001421691,0.0017181,-0.00643681,-0.002694602,0.007141018,-0.003531493,0.002659582,0.000863,0.00014,0.002692673,-0.003571103,-0.002600242,0.003360148,0.011902363,0.008644649,0.000653,0.015392913,0.000386,0.011887155,0.011778504,0.006397334,0.019961243,-0.005329676,-0.002294355,-0.002150332,-0.002961757,0.017014142,0.010084315,-0.018133766,0.013517932,0.00372435,0.005946152,0.010829991,-0.007055224,0.003579293,8.77-05,0.005746842,0.001484658,-0.0061991797883652,-0.015654230366364,-0.0037663116696659,,,,,,,,,
aware International Fixed Interest AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Conservative Growth,0.00049,0.004590252,0.005438147,0.008931736,0.009461943,0.003663189,0.023216876,0.02895813,0.004322924,0.016220865,-0.003881443,0.0,0.018282696,-0.020914136,-0.012003853,-0.001714765,-0.004885134,-0.025320082,0.005057042,0.01345265,-0.014246285,0.003052964,-0.012440756,0.011684807,-0.004103357,0.017071383,0.009275786,0.025700332,0.029534745,0.007831692,-0.000411621,0.012270687,0.011762855,0.000419443,0.02208967,0.010308544,0.013995288,-0.005869614,-0.001506256,0.015501403,-0.006727063,0.007888773,0.004712182,0.029452247,0.009192764,0.015348661,0.016469466,0.004053742,0.004847745,0.010142671,-0.009610285,0.008500133,0.026532258,0.028577348,0.016617303,-0.009013561,0.028864617,-0.018542803,0.008946932,0.019085148,0.004461906,0.016223745,0.015011373,0.008150896,0.005586312,-0.003496811,0.009727145,-0.0112598,0.017083277,0.008451066,0.012877239,0.010814739,0.003311759,0.000953742,0.007141852,0.010624003,-0.017780154,0.006302038,0.013995637,0.002030738,-0.006598998,-0.011101802,0.025426772,0.003848848,-0.009002938,0.012294805,0.013987177,0.001799563,0.003417314,0.013810768,0.009571135,0.011158477,-0.00271823,0.004253201,0.008472517,0.00891083,0.011553834,-0.004442589,-0.00123274,0.005797367,0.00903669,0.007362387,-0.004445408,0.008062129,-0.022826693,0.028054651,0.003313332,0.004240511,-0.002631763,0.003700048,-0.000299822,0.002824007,0.002491897,-0.003242026,-0.00920934,0.013761214,-0.00362471,0.004612351,0.011356065,0.005326352,-0.003319868,-0.003208691,0.008627071,0.013020872,0.016561958,0.001467686,-0.00112185,0.004475784,0.004779901,0.00690635,0.001736403,0.014566953,0.005546192,0.007749427,0.011319681,0.002469694,0.00271477,0.011713963,-0.001411205,0.012059565,0.009880819,0.007809295,0.014792232,0.014075123,0.003625003,0.001561873,0.002108752,0.00236554,0.013224032,0.014595909,0.008826479,0.005967521,0.014995052,-0.011733891,0.022014671,0.011931127,0.007932795,0.005821906,0.013746851,0.001609937,-0.005103492,0.003712994,-0.002546238,0.01120886,0.0087585,0.010779707,0.006084378,0.011012428,0.007343757,0.013274897,-0.003979882,0.012866644,0.00576825,-0.002022804,-0.002963668,0.009115759,0.011387042,0.010126025,-0.005731067,0.003063756,-0.013149848,-0.000787287,-0.005800781,0.013061952,0.002040159,-0.014553058,-0.007526459,0.021414019,-0.006105519,-0.028423462,0.000238317,0.008257011,-0.004004434,-0.012345825,0.017537476,0.006131622,0.005183196,0.004229571,0.013527248,0.020853048,0.010918008,-0.005335688,0.008720363,0.006674215,-0.003049784,0.00381119,0.013740019,0.000184449,-0.008006135,0.000547452,0.012175104,-0.000463663,0.011010852,0.003676246,6.93-05,0.007359689,0.010810357,0.002333471,0.004638957,0.00577968,-0.000329787,0.002307154,-0.00139868,-0.007798765,0.000598853,0.012086856,-0.004910741,0.003792413,0.009960104,0.007488811,0.010241598,0.003418043,-0.002070946,-0.000457783,0.007807838,0.009579653,0.006925821,0.005093183,0.001150887,0.010329888,0.01212456,0.006871753,0.01246478,0.008538168,-0.009856782,0.019480856,0.003466432,0.00917161,0.0079475,0.00356547,0.006622996,0.000990534,0.008830524,-0.001642275,0.006947829,0.00869537,0.003365071,0.005714699,0.00627356,-0.001366765,0.003686943,0.010773628,0.008759988,0.007233951,0.014937777,0.003545673,0.00438411,-0.002062416,-0.006174618,0.009668329,-0.004850017,-0.003829555,0.014024039,-0.00145446,0.00046603,-0.007997784,0.002920067,0.005925252,0.007754007,0.012136725,-0.000706655,0.014758729,0.003267999,-0.000234,0.000455,0.001598589,0.006408394,0.003276889,0.004791004,0.006930024,0.006421215,0.00705351,0.001104253,0.002898363,0.004790852,0.002430861,0.010819078,0.007386495,0.001827399,0.005029704,0.001227125,-0.000371,0.006597065,0.003568226,0.003539256,0.006998215,0.006849805,-0.000762,-0.005662263,0.000519,-0.000451,0.010639948,0.009286971,0.007629875,0.007466229,0.003231163,0.008665871,0.008706302,0.000769,0.002266909,0.002072862,0.010153953,-0.001427463,0.011247585,-0.007433281,-0.027949373,0.001801654,0.007515372,0.007488661,0.004355045,0.002632634,0.000995,0.001207421,0.010207697,0.002613857,-0.00010278458839141358,-0.0050580536108081,0.007236825269266,,,,,,,,,
aware Conservative Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telstra Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,3.21,0.29,1.00,1.97,-0.31,0.60,6.11,1.68,0.28,1.68,2.58,,,,,,,,,
telstra Balanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.66,0.35,0.69,1.47,-0.15,0.41,5.03,1.39,0.18,1.24,2.30,,,,,,,,,
telstra Defensive Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,2.04,0.62,0.67,0.54,0.02,0.15,3.12,1.08,-0.05,0.14,1.79,,,,,,,,,
telstra Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.44,0.43,0.38,0.49,0.04,0.15,2.45,0.97,0.06,0.22,1.18,,,,,,,,,
telstra International Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,3.30,-0.01,1.99,2.61,-0.35,-1.07,8.31,1.64,-0.46,2.26,3.70,,,,,,,,,
telstra Australian Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,4.29,1.39,0.42,3.26,-2.62,1.55,9.93,1.47,0.32,2.14,2.47,,,,,,,,,
telstra Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,1.43,0.18,-0.29,0.80,0.25,0.09,1.20,3.24,0.23,0.41,0.65,,,,,,,,,
telstra Fixed Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.60,0.54,0.83,-0.18,0.39,0.19,0.27,0.23,-0.22,-1.52,0.10,,,,,,,,,
